section_id,start,end
SEC-01,4,28
SEC-01,100,124
SEC-01,196,220
SEC-01,292,316
SEC-01,388,412
SEC-01,484,508
SEC-01,580,604
SEC-01,676,700
SEC-01,772,796
SEC-01,868,892
SEC-01,964,988
SEC-01,1060,1084
SEC-01,1156,1180
SEC-01,1252,1276
SEC-01,1348,1372
SEC-01,1444,1468
SEC-01,1540,1564
SEC-01,1636,1660
SEC-01,1732,1756
SEC-01,1828,1852
SEC-01,1924,1948
SEC-01,2020,2044
SEC-01,2116,2140
SEC-01,2212,2236
SEC-01,2308,2332
SEC-01,2404,2428
SEC-01,2500,2524
SEC-01,2596,2620
SEC-02,4,28
SEC-02,100,124
SEC-02,196,220
SEC-02,292,316
SEC-02,388,412
SEC-02,484,508
SEC-02,580,604
SEC-02,676,700
SEC-02,772,796
SEC-02,868,892
SEC-02,964,988
SEC-02,1060,1084
SEC-02,1156,1180
SEC-02,1252,1276
SEC-02,1348,1372
SEC-02,1444,1468
SEC-02,1540,1564
SEC-02,1636,1660
SEC-02,1732,1756
SEC-02,1828,1852
SEC-02,1924,1948
SEC-02,2020,2044
SEC-02,2116,2140
SEC-02,2212,2236
SEC-02,2308,2332
SEC-02,2404,2428
SEC-02,2500,2524
SEC-02,2596,2620
SEC-03,4,28
SEC-03,100,124
SEC-03,196,220
SEC-03,292,316
SEC-03,388,412
SEC-03,484,508
SEC-03,580,604
SEC-03,676,700
SEC-03,772,796
SEC-03,868,892
SEC-03,964,988
SEC-03,1060,1084
SEC-03,1156,1180
SEC-03,1252,1276
SEC-03,1348,1372
SEC-03,1444,1468
SEC-03,1540,1564
SEC-03,1636,1660
SEC-03,1732,1756
SEC-03,1828,1852
SEC-03,1924,1948
SEC-03,2020,2044
SEC-03,2116,2140
SEC-03,2212,2236
SEC-03,2308,2332
SEC-03,2404,2428
SEC-03,2500,2524
SEC-03,2596,2620
SEC-04,4,28
SEC-04,100,124
SEC-04,196,220
SEC-04,292,316
SEC-04,388,412
SEC-04,484,508
SEC-04,580,604
SEC-04,676,700
SEC-04,772,796
SEC-04,868,892
SEC-04,964,988
SEC-04,1060,1084
SEC-04,1156,1180
SEC-04,1252,1276
SEC-04,1348,1372
SEC-04,1444,1468
SEC-04,1540,1564
SEC-04,1636,1660
SEC-04,1732,1756
SEC-04,1828,1852
SEC-04,1924,1948
SEC-04,2020,2044
SEC-04,2116,2140
SEC-04,2212,2236
SEC-04,2308,2332
SEC-04,2404,2428
SEC-04,2500,2524
SEC-04,2596,2620
