id,section_id,start,end
TRAIN-001,SEC-01,1392,1394
TRAIN-002,SEC-03,1155,1157
TRAIN-003,SEC-03,2568,2570
TRAIN-004,SEC-01,1740,1742
TRAIN-005,SEC-02,168,170
TRAIN-006,SEC-01,2328,2330
TRAIN-007,SEC-01,2604,2606
TRAIN-008,SEC-04,1176,1178
TRAIN-009,SEC-02,1944,1946
TRAIN-010,SEC-02,1080,1082
TRAIN-011,SEC-01,2040,2042
TRAIN-012,SEC-02,1896,1898
TRAIN-013,SEC-02,1704,1706
TRAIN-014,SEC-04,516,518
TRAIN-015,SEC-02,840,842
TRAIN-016,SEC-01,2040,2042
TRAIN-017,SEC-03,675,677
TRAIN-018,SEC-01,1176,1178
TRAIN-019,SEC-03,624,626
TRAIN-020,SEC-04,648,650
TRAIN-021,SEC-04,1224,1226
TRAIN-022,SEC-02,408,410
TRAIN-023,SEC-03,744,746
TRAIN-024,SEC-04,2256,2258
TRAIN-025,SEC-03,1764,1766
TRAIN-026,SEC-04,684,686
TRAIN-027,SEC-01,195,197
TRAIN-028,SEC-02,456,458
